Test No.,Rank,P-1,C-1,M-1,Total
1,3,32,12,23,67
4,23,21,6,36,63
3,5,29,32,28,89
9,12,33,18,42,93
12,6,32,20,32,84
13,7,28,32,26,86
5,47,23,23,24,70
11,6,28,28,32,88
2,242,0,0,0,0
6,2,42,29,39,110
8,5,23,24,25,72
7,3,15,29,29,73
10,3,30,28,33,91
14,1,48,37,45,130
